category, skill,why
Speech Acoustics,Praat,
Speech Acoustics,Audacity,
Speech Acoustics,TF32,
Speech Kinematics,Speech Movement Analysis for Speech and Hearing Research (SMASH),
Auditory Feedback Perturbation,Audapter,
Signal Processing and Analysis,MATLAB,
Neuroimaging Analysis,Statistical Parametric Mapping (SPM),
Neuroimaging Analysis,Freesurfer,
Neuroimaging Analysis,Functional Connectivity Toolbox (CONN),
Statistical Analysis,"R, MATLAB",
Version Control,GitHub,
Design Software,"Affinity Designer, Adobe InDesign",
Bibliographic Management,"Endnote, Zotero",